Exemplaire,Taille exemplaire,Naif,Diviser pour regner,seuil
N1000_0,1000,3.9348602294921875,8.069992065429688,0.0
N1000_1,1000,4.464864730834961,9.88006591796875,2.620220184326172
N1000_2,1000,8.010625839233398,11.891365051269531,5.20777702331543
N1000_3,1000,5.592584609985352,9.208917617797852,3.826141357421875
N1000_4,1000,8.84556770324707,11.39974594116211,0.0
N1000_5,1000,8.913516998291016,9.592533111572266,0.0
N1000_6,1000,1.0001659393310547,0.0,8.057832717895508
N1000_7,1000,0.0,12.212276458740234,4.062175750732422
N1000_8,1000,11.686325073242188,0.0,9.477615356445312
N1000_9,1000,10.357856750488281,11.019706726074219,0.0
N10000_0,10000,19.68097686767578,72.41678237915039,45.62544822692871
N10000_1,10000,19.460678100585938,95.51143646240234,53.40933799743652
N10000_2,10000,32.13238716125488,79.79893684387207,43.1523323059082
N10000_3,10000,27.308225631713867,71.68340682983398,46.43559455871582
N10000_4,10000,15.869617462158203,81.33220672607422,45.62783241271973
N10000_5,10000,16.08133316040039,91.5379524230957,41.61715507507324
N10000_6,10000,17.179012298583984,82.08703994750977,44.7850227355957
N10000_7,10000,16.930580139160156,72.44729995727539,43.16544532775879
N10000_8,10000,23.344039916992188,70.8608627319336,44.64435577392578
N10000_9,10000,27.503252029418945,65.57989120483398,35.95280647277832
N100000_0,100000,296.33069038391113,996.6247081756592,672.0354557037354
N100000_1,100000,305.82165718078613,983.2515716552734,700.3557682037354
N100000_2,100000,322.68786430358887,1059.9207878112793,656.013011932373
N100000_3,100000,339.35022354125977,1042.9317951202393,643.1987285614014
N100000_4,100000,299.78227615356445,948.4457969665527,647.9396820068359
N100000_5,100000,281.4962863922119,1092.6856994628906,689.88037109375
N100000_6,100000,303.3785820007324,1066.2720203399658,688.8265609741211
N100000_7,100000,285.14647483825684,1056.7197799682617,724.8950004577637
N100000_8,100000,311.9938373565674,1033.4115028381348,650.2225399017334
N100000_9,100000,290.06409645080566,1088.932752609253,688.7037754058838
N5000_0,5000,9.359359741210938,45.39966583251953,18.239259719848633
N5000_1,5000,21.54827117919922,75.5007266998291,25.510072708129883
N5000_2,5000,10.103464126586914,47.86348342895508,22.68815040588379
N5000_3,5000,10.08749008178711,46.38862609863281,18.35465431213379
N5000_4,5000,11.822223663330078,60.42790412902832,28.81908416748047
N5000_5,5000,15.268087387084961,40.560245513916016,17.357349395751953
N5000_6,5000,8.002519607543945,36.44824028015137,26.398181915283203
N5000_7,5000,19.162654876708984,43.79582405090332,38.831472396850586
N5000_8,5000,11.957645416259766,38.999319076538086,17.096757888793945
N5000_9,5000,8.009672164916992,66.76578521728516,19.930124282836914
N50000_0,50000,131.9873332977295,418.55597496032715,274.7175693511963
N50000_1,50000,126.79409980773926,469.9981212615967,324.4502544403076
N50000_2,50000,118.28112602233887,446.11477851867676,276.8416404724121
N50000_3,50000,127.11811065673828,418.1480407714844,284.4662666320801
N50000_4,50000,135.56265830993652,545.5620288848877,300.26698112487793
N50000_5,50000,119.69971656799316,442.66796112060547,306.58483505249023
N50000_6,50000,122.62082099914551,420.818567276001,342.20266342163086
N50000_7,50000,117.51556396484375,478.1811237335205,268.4149742126465
N50000_8,50000,118.3176040649414,544.1617965698242,278.7806987762451
N50000_9,50000,135.94746589660645,513.2913589477539,272.8588581085205
N500000_0,500000,1691.680669784546,6381.651878356934,4553.079128265381
N500000_1,500000,1708.0857753753662,5934.440612792969,4499.273061752319
N500000_2,500000,1663.3844375610352,6446.777105331421,4338.6125564575195
N500000_3,500000,1843.2912826538086,6105.243682861328,4309.862852096558
N500000_4,500000,1728.0445098876953,5981.433629989624,4489.267826080322
N500000_5,500000,1651.550531387329,6227.889537811279,4477.104663848877
N500000_6,500000,1935.8556270599365,12647.716283798218,8305.890560150146
N500000_7,500000,3059.1018199920654,12426.60665512085,8366.620302200317
N500000_8,500000,3149.1799354553223,10220.56794166565,4822.683334350586
N500000_9,500000,1814.3401145935059,10531.404972076416,8686.973571777344
