Exemplaire,Taille exemplaire,Naif,Diviser pour regner,seuil
N1000_0,1000,224.67899322509766,11.087179183959961,9.313583374023438
N1000_1,1000,245.34249305725098,16.022920608520508,9.208202362060547
N1000_2,1000,197.04818725585938,0.0,16.597986221313477
N1000_3,1000,222.2287654876709,0.0,10.57124137878418
N1000_4,1000,189.73946571350098,8.073091506958008,7.999897003173828
N10000_0,10000,17947.184801101685,67.91138648986816,112.15710639953613
N10000_1,10000,18141.0813331604,63.79294395446777,106.84442520141602
N10000_2,10000,18011.245727539062,66.73860549926758,107.09547996520996
N10000_3,10000,17956.14194869995,84.21134948730469,146.73376083374023
N10000_4,10000,17720.170974731445,80.66082000732422,133.25858116149902
N100000_0,100000,3817483.414888382,1069.838047027588,1452.9356956481934
N100000_1,100000,2186179.4023513794,934.8838329315186,1120.3057765960693
N100000_2,100000,1579843.810081482,811.0508918762207,928.9841651916504
N100000_3,100000,1488736.2492084503,802.0000457763672,972.0339775085449
N100000_4,100000,1481580.5604457855,780.9526920318604,968.9991474151611
N5000_0,5000,3435.001850128174,28.045177459716797,44.00348663330078
N5000_1,5000,3453.0029296875,28.998136520385742,43.99991035461426
N5000_2,5000,3564.99981880188,27.9998779296875,44.00181770324707
N5000_3,5000,3491.950750350952,31.000137329101562,44.00014877319336
N5000_4,5000,3527.519941329956,27.04787254333496,43.99728775024414
N50000_0,50000,369965.36445617676,370.9542751312256,462.9998207092285
N50000_1,50000,367331.26068115234,376.9521713256836,454.00285720825195
N50000_2,50000,405238.2183074951,393.0039405822754,467.03433990478516
N50000_3,50000,411025.0310897827,462.0037078857422,637.5203132629395
N50000_4,50000,394538.22779655457,389.0032768249512,459.0015411376953
